title,input,choices,target,target_index,task_description
Blue Bells of Scotland,"M:4/4
L:1/4
K:G
P:A
D|g2 fe|d2 eF/2G/2","['P:B
d', 'G3 :', 'BB cA', 'BG Bd']",2103,,"Given the initial three bars and a shuffled list of the remaining bars, output the indices in the correct sequence. Return only the 0-indexed positions from the shuffled list as a concatenated string. For instance, if the shuffled list is [Bar A, Bar B, Bar C, Bar D], and the correct order is B → D → A → C, output ‘1302‘ "
Highland Mary,"N:A(AB)4
M:4/4
L:1/4
K:G
P:A
D|""G""GG ""D7""G/2F/2E/2D/2|""G""GA/2B/2 ""C""cB/2c/2","['""G""GA/2B/2 ""C""cB/2c/2', '""G""GG ""D7""G/2F/2E/2D/2', '""G""dd ""D7""A/2c/2B/2A/2', '\
""Am""GF ""D7""D2', '""G""dd ""C""A/2c/2B/2A/2']",43102,,"Given the initial three bars and a shuffled list of the remaining bars, output the indices in the correct sequence. Return only the 0-indexed positions from the shuffled list as a concatenated string. For instance, if the shuffled list is [Bar A, Bar B, Bar C, Bar D], and the correct order is B → D → A → C, output ‘1302‘ "
Orange in Bloom,"N:A(ABBB)2(ACCC)2B
M:6/8
K:D
P:A
""D""dcd f2e|""G""d2B BdB|""D""ABA d2e","['""G""d2B BdB', '""D""fdd ""A7""d2A', '""D""dcd f2e', '""D""ABA d2e', 'P:B
""D""fdf a2f', 'fdd d3']",120354,,"Given the initial three bars and a shuffled list of the remaining bars, output the indices in the correct sequence. Return only the 0-indexed positions from the shuffled list as a concatenated string. For instance, if the shuffled list is [Bar A, Bar B, Bar C, Bar D], and the correct order is B → D → A → C, output ‘1302‘ "
Cuckoo's Nest,"N:A(AABB)(AACC)
M:4/4
L:1/4
K:Gm
P:A
G/2A/2|""Gm""BB Gf|""Gm""dc/2B/2 ""F""cc","['""Gm""BG G:', 'P:B
d', '""Gm""gd ""C7""dd/2=e/2', '""Gm""gg ga', '""Gm""""Bb""B/2A/2G ""F""FG/2A/2']",40132,,"Given the initial three bars and a shuffled list of the remaining bars, output the indices in the correct sequence. Return only the 0-indexed positions from the shuffled list as a concatenated string. For instance, if the shuffled list is [Bar A, Bar B, Bar C, Bar D], and the correct order is B → D → A → C, output ‘1302‘ "
Cuckoo's Nest,"P:AB
M:4/4
K:D
M:4/4
L:1/4
P:A
D/2E/2|""D""F/2G/2F/2E/2 Dd|""D""F/2G/2F/2E/2 Dd","['P:B
(3D/2F/2A/2', '""D""dd de/2d/2', '\
""D""FD D:', '""D""F/2G/2F/2E/2 ""A7""D/2C/2D/2E/2']",3201,,"Given the initial three bars and a shuffled list of the remaining bars, output the indices in the correct sequence. Return only the 0-indexed positions from the shuffled list as a concatenated string. For instance, if the shuffled list is [Bar A, Bar B, Bar C, Bar D], and the correct order is B → D → A → C, output ‘1302‘ "
Cuckoo's Nest,"M:4/4
L:1/4
K:F
P:A
D/2E/2|""Dm""F/2G/2F/2E/2 Dd|""Dm""AA ""C""G""Dm""A","['P:B
A', '\
""A7""FG ""Dm""D:', '""C""E/2G/2E/2D/2 CD/2E/2', '""Dm""dd de/2d/2', '""A""^cA AA/2=B/2']",21034,,"Given the initial three bars and a shuffled list of the remaining bars, output the indices in the correct sequence. Return only the 0-indexed positions from the shuffled list as a concatenated string. For instance, if the shuffled list is [Bar A, Bar B, Bar C, Bar D], and the correct order is B → D → A → C, output ‘1302‘ "
The Forester,"N:A(ABB) times 4
M:4/4
L:1/4
K:D
P:A
(3A/2B/2c/2|""D""d/2c/2d/2e/2 d(3E/2F/2G/2|""D""A/2B/2A/2F/2 D(3A/2B/2c/2","['""D""A/2B/2A/2F/2 D(3E/2F/2G/2', '""D""f/2d/2""A7""e/2c/2 ""D""d', '""Em""f/2e/2e/2d/2 ""A7""e/2g/2f/2e/2', '\
""D""d/2c/2d/2e/2 f/2e/2d/2e/2', '""D""d/2c/2d/2e/2 d/2A/2F/2G/2', '\
""D""A/2B/2A/2G/2 F/2A/2d/2e/2']",324051,,"Given the initial three bars and a shuffled list of the remaining bars, output the indices in the correct sequence. Return only the 0-indexed positions from the shuffled list as a concatenated string. For instance, if the shuffled list is [Bar A, Bar B, Bar C, Bar D], and the correct order is B → D → A → C, output ‘1302‘ "
Leapfrog,"N:(ABB)4
M:4/4
L:1/4
K:Bb
P:A
F|""Bb""B3/2B/2 ""Eb""Bc|""Bb""B2 ""F7""FF","['\
""Bb""B3/2B/2 ""Eb""Bc', '""Bb""B2 ""F7""FF', '""Bb""DE ""Eb""FG', '""Bb""F2 ""F7""FF']",2301,,"Given the initial three bars and a shuffled list of the remaining bars, output the indices in the correct sequence. Return only the 0-indexed positions from the shuffled list as a concatenated string. For instance, if the shuffled list is [Bar A, Bar B, Bar C, Bar D], and the correct order is B → D → A → C, output ‘1302‘ "
Morning Star,"M:4/4
L:1/4
K:G
P:A
G/2A/2|""Em""B/2c/2B/2G/2 EF/2G/2|""D""A/2c/2A/2F/2 DG/2A/2","['""D7""DG ""G""G:', 'P:B
G/2A/2', '""G""BB dd', '\
""Em""B/2c/2B/2G/2 ""Am""EA/2F/2']",3012,,"Given the initial three bars and a shuffled list of the remaining bars, output the indices in the correct sequence. Return only the 0-indexed positions from the shuffled list as a concatenated string. For instance, if the shuffled list is [Bar A, Bar B, Bar C, Bar D], and the correct order is B → D → A → C, output ‘1302‘ "
Morris Off,"M:4/4
L:1/4
K:G
d|""G""g/2f/2g/2e/2 dg|""Am""a/2g/2f/2e/2 ""D""d2","['""D""a/2g/2f/2e/2 d2', '""C""a/2g/2f/2e/2 ""D""d2', '""C""c'a ""G""bg', '""C""c'/2b/2a/2g/2 ""D7""f/2d/2e/2f/2', '\
""G""gb g:', '""Em""g/2f/2g/2e/2 dg']",205134,,"Given the initial three bars and a shuffled list of the remaining bars, output the indices in the correct sequence. Return only the 0-indexed positions from the shuffled list as a concatenated string. For instance, if the shuffled list is [Bar A, Bar B, Bar C, Bar D], and the correct order is B → D → A → C, output ‘1302‘ "
Morris Off,"M:4/4
L:1/4
K:G
B/2c/2|""G""dd de|d3c","['\
""D""F2 D', '""G""BG GA', '""G""BG ""D7""GA', '""D""F2 D2', '""G""BG ""D7""GA', '""G""BG GA']",134250,,"Given the initial three bars and a shuffled list of the remaining bars, output the indices in the correct sequence. Return only the 0-indexed positions from the shuffled list as a concatenated string. For instance, if the shuffled list is [Bar A, Bar B, Bar C, Bar D], and the correct order is B → D → A → C, output ‘1302‘ "
Princess Royal,"M:4/4
L:1/4
K:G
P:A
d/2c/2|""G""B""D""A ""G""Gd/2c/2|""G""B""D""A ""G""Gg","['\
""G""B/2A/2B/2G/2 ""D7""AF', '""D7""F/2G/2A/2F/2 Dd/2c/2', '""G""d3/2c/2 Bd', '""C""e3/2d/2 ce', '""Am""cB AG', '""G""G2 G:']",324105,,"Given the initial three bars and a shuffled list of the remaining bars, output the indices in the correct sequence. Return only the 0-indexed positions from the shuffled list as a concatenated string. For instance, if the shuffled list is [Bar A, Bar B, Bar C, Bar D], and the correct order is B → D → A → C, output ‘1302‘ "
Princess Royal,"M:4/4
L:1/4
K:Gm
P:A
d/2c/2|""Gm""B""D""A ""Gm""Gd/2c/2|""Gm""B""D""A ""Gm""GB/2d/2","['cB AG', '""Bb/d""F/2G/2F/2D/2 Bd/2c/2', '\
""Gm""dd/2c/2 B/2A/2B/2d/2', '""Cm""BA/2G/2 ""D7""Fd', '""Cm""ec c/2d/2e/2c/2']",42013,,"Given the initial three bars and a shuffled list of the remaining bars, output the indices in the correct sequence. Return only the 0-indexed positions from the shuffled list as a concatenated string. For instance, if the shuffled list is [Bar A, Bar B, Bar C, Bar D], and the correct order is B → D → A → C, output ‘1302‘ "
Princess Royal,"M:4/4
L:1/4
K:Am
P:A
e/2d/2|""Am""cB/2c/2 Ae/2^f/2|""Am""e/2d/2c/2B/2 A/2c/2e","['""G""Bg BG', '\
""Am""e/2d/2c/2B/2 cB/2A/2', '""D""^fd df/2g/2', '""Am""A2 A:', '""Am""c/2B/2A/2c/2 ""Em""B/2A/2G/2B/2', '""Am""A/2B/2A/2G/2 Ee/2d/2']",210543,,"Given the initial three bars and a shuffled list of the remaining bars, output the indices in the correct sequence. Return only the 0-indexed positions from the shuffled list as a concatenated string. For instance, if the shuffled list is [Bar A, Bar B, Bar C, Bar D], and the correct order is B → D → A → C, output ‘1302‘ "
Fieldtown Processional,"M:4/4
L:1/4
K:G
P:A
G/2A/2|""G""BA BG|""Am""AA A2","['""G""B/2c/2d ""C""ef', '\
""G""BG ""D7""AF', '""G""gd ""C""ec', '""G""BG ""D7""G2', '""D7""cB/2c/2 Ac']",43021,,"Given the initial three bars and a shuffled list of the remaining bars, output the indices in the correct sequence. Return only the 0-indexed positions from the shuffled list as a concatenated string. For instance, if the shuffled list is [Bar A, Bar B, Bar C, Bar D], and the correct order is B → D → A → C, output ‘1302‘ "
Tideswell Processional,"M:4/4
L:1/4
K:G
d|:""G""B/2d/2d/2g/2 g/2d/2d/2g/2|""C""g/2e/2""D7""d/2c/2 ""G""BG:","['\
""C""c/2d/2(3e/2d/2c/2 ""G""B/2d/2d', '""C""c/2d/2(3e/2d/2c/2 ""G""B/2d/2d', '""C""e/2g/2""D7""f/2a/2 ""G""g', '""C""c/2d/2(3e/2d/2c/2 ""G""BG']",1302,,"Given the initial three bars and a shuffled list of the remaining bars, output the indices in the correct sequence. Return only the 0-indexed positions from the shuffled list as a concatenated string. For instance, if the shuffled list is [Bar A, Bar B, Bar C, Bar D], and the correct order is B → D → A → C, output ‘1302‘ "
Wheatley Processional,"M:4/4
L:1/4
K:G
e|:""G""dB ""C""A3/2E/2|""C""EE ""G""D3/2D/2","['""C""AE ""G""D3/2D/2', '""G""GB AG', '""G""dB ""C""A3/2G/2', '""D""A2 ""C""e2']",1320,,"Given the initial three bars and a shuffled list of the remaining bars, output the indices in the correct sequence. Return only the 0-indexed positions from the shuffled list as a concatenated string. For instance, if the shuffled list is [Bar A, Bar B, Bar C, Bar D], and the correct order is B → D → A → C, output ‘1302‘ "
Winster Processional,"M:4/4
L:1/4
K:G
d|""G""gd ""D7""de/2f/2|""G""gd ""D7""de/2f/2","['""G""gd ""D7""dc', '[1""G""B2 G:', '[2""G"" B2 G2', ':""C""ce ed/2c/2']",0123,,"Given the initial three bars and a shuffled list of the remaining bars, output the indices in the correct sequence. Return only the 0-indexed positions from the shuffled list as a concatenated string. For instance, if the shuffled list is [Bar A, Bar B, Bar C, Bar D], and the correct order is B → D → A → C, output ‘1302‘ "
Sweet Jenny Jones,"M:3/4
L:1/4
K:C
P:A
A/2B/2|cGE|C3/2D/2E","['F3/2G/2A', 'BGB', 'cGE', 'FAd']",3120,,"Given the initial three bars and a shuffled list of the remaining bars, output the indices in the correct sequence. Return only the 0-indexed positions from the shuffled list as a concatenated string. For instance, if the shuffled list is [Bar A, Bar B, Bar C, Bar D], and the correct order is B → D → A → C, output ‘1302‘ "
Singing of the Travels,"M:4/4
L:1/4
K:G
d3/2d/2|""G""ed dB|""C""c2 d3/2c/2","['""D7""D2 d3/2d/2', '""G""cB AG', '\
""Am""D4-', '""Am""GF ""D7""ED', '""G""G2 GA', '""Em""B2 AG']",134520,,"Given the initial three bars and a shuffled list of the remaining bars, output the indices in the correct sequence. Return only the 0-indexed positions from the shuffled list as a concatenated string. For instance, if the shuffled list is [Bar A, Bar B, Bar C, Bar D], and the correct order is B → D → A → C, output ‘1302‘ "
Valentine,"N:A(ABBB)(ACCC)A
M:6/8
K:G
P:A
g|""C""gfe ede|""C""edc cBc","['""C""edc cBc', '""C""gfe ede', '""G""dBg dBG', '""G""dBG ""D7""DAF', '""Am""FAA ""D""A2g']",24103,,"Given the initial three bars and a shuffled list of the remaining bars, output the indices in the correct sequence. Return only the 0-indexed positions from the shuffled list as a concatenated string. For instance, if the shuffled list is [Bar A, Bar B, Bar C, Bar D], and the correct order is B → D → A → C, output ‘1302‘ "
